price.open,price.high,price.low,price.close,volume,price.adjusted,ret.adjusted.prices,ret.closing.prices,avgChange,Change
58.57,58.57,56.790001,57.650002,6384200,56.139652,-0.018222165,-0.018222054,0.685756578,U
57.93,58.5,57.540001,57.599998,4016100,56.090958,-0.000867373,-0.000867372,0.779701465,U
57.380001,57.66,56.939999,57.549999,3581500,56.042271,-0.000868001,-0.000868038,0.679417065,U
57.639999,57.950001,57.259998,57.75,3291100,56.23703,0.003475216,0.003475256,0.657628828,U
60,60.73,59.150002,59.639999,5487100,58.077515,0.03272728,0.032727255,0.180632547,E
59.150002,60.310001,58.5,59.880001,4027500,58.311234,0.00402426,0.004024178,0,E
59.66,60.389999,59.470001,59.549999,2398100,57.989872,-0.005511151,-0.005511055,0.010038141,E
59.66,59.970001,59.290001,59.700001,3383000,58.135948,0.002518992,0.002518925,0.10022015,E
59.52,60.540001,59.5,60.18,2601400,58.603367,0.008040103,0.008040184,0.259480704,E
59.950001,60.279999,59.610001,59.880001,2536400,58.311234,-0.004984918,-0.004985028,0.83217785,U
60.189999,60.529999,59.41,59.580002,3371900,58.019089,-0.005010098,-0.005010003,1.246980459,U
59.400002,60.169998,59.349998,60,2488000,58.428085,0.007049335,0.007049312,0.939710005,U
60.259998,61.07,60.200001,60.959999,2091000,59.362934,0.015999994,0.015999983,0.493321263,E
60.880001,62.599998,60.419998,62.400002,4170400,60.765209,0.023622064,0.023622097,0.063731557,E
62.509998,63.470001,62.060001,63.400002,3266000,61.73901,0.016025634,0.016025641,-0.089022669,E
63.400002,63.599998,62.330002,62.91,5330200,61.261845,-0.007728744,-0.007728738,-0.022295124,E
62.950001,62.950001,62.380001,62.5,2822200,60.862587,-0.006517238,-0.006517247,-0.012758676,E
62.139999,62.889999,61.669998,62.599998,2801000,60.959965,0.001599965,0.001599968,0.149639277,E
62.650002,63.259998,62.110001,63.119999,2954900,61.466343,0.00830673,0.008306726,-0.181505542,E
63.279999,63.48,62.48,62.84,2454400,61.19368,-0.004435972,-0.004435979,-0.009562044,E
62.599998,63.16,62.369999,62.459999,3638800,60.823639,-0.006047046,-0.00604712,0.092463015,E
62.459999,63.290001,62.43,63.07,1392200,61.417652,0.009766154,0.009766267,-0.181713849,E
62.939999,63.150002,62.349998,62.549999,1328600,61.202393,-0.003504839,-0.008244823,0.168957568,E
62.439999,63.16,62.259998,62.810001,2781900,61.456799,0.004156798,0.004156707,0.14630546,E
62.869999,63.150002,62.43,62.75,2006200,61.39809,-0.000955289,-0.000955278,0.203180735,E
