,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
1,70,70,68.699997,69.559998,1380300,67.449471,5/1/2018,TSN,NA,NA
2,69.339996,69.440002,67.300003,67.489998,1830500,65.442268,5/2/2018,TSN,-0.029758617,-0.029758483
3,67.589996,67.739998,65.82,66.050003,2490200,64.045959,5/3/2018,TSN,-0.021336501,-0.021336421
4,65.75,67.300003,65.169998,66.970001,2421000,64.938049,5/4/2018,TSN,0.013928904,0.013928811
5,65.639999,68,64.599998,67.220001,4257100,65.180466,5/7/2018,TSN,0.00373305,0.003733015
6,66.779999,66.849998,65.889999,66.660004,2448100,64.637451,5/8/2018,TSN,-0.008330947,-0.008330809
7,66.839996,67.809998,66.779999,67.269997,2428100,65.228943,5/9/2018,TSN,0.009150918,0.00915081
8,67.68,68.449997,67.589996,67.720001,1802500,65.665291,5/10/2018,TSN,0.006689484,0.00668952
9,68.019997,68.709999,67.720001,68.25,1741400,66.179214,5/11/2018,TSN,0.007826403,0.007826329
10,68.230003,68.529999,67.339996,67.620003,1904500,65.568336,5/14/2018,TSN,-0.009230663,-0.009230725
11,67.269997,67.339996,66.349998,67.279999,2179000,65.23864,5/15/2018,TSN,-0.005028281,-0.005028157
12,67.440002,68.709999,67.370003,68.559998,1742400,66.479805,5/16/2018,TSN,0.019024998,0.019024956
13,68.440002,69.110001,68.309998,68.639999,1798800,66.557381,5/17/2018,TSN,0.001166911,0.001166876
14,68.419998,68.419998,66.910004,67.910004,2084700,65.849525,5/18/2018,TSN,-0.010635274,-0.010635125
15,68.419998,68.5,67.470001,67.889999,1933200,65.830139,5/21/2018,TSN,-0.000294398,-0.000294581
16,68,68.949997,67.739998,67.879997,2620300,65.820442,5/22/2018,TSN,-0.000147303,-0.000147327
17,67.839996,69.290001,67.839996,69.050003,2635600,66.954941,5/23/2018,TSN,0.017236271,0.017236389
18,68.650002,69.440002,67.970001,69.379997,2905600,67.274925,5/24/2018,TSN,0.004779095,0.004779058
19,69.230003,70.580002,69.209999,69.589996,2225000,67.478546,5/25/2018,TSN,0.0030267,0.003026795
20,69.349998,70.839996,69.010002,70.389999,2952100,68.25428,5/29/2018,TSN,0.011496009,0.011495948
21,70.690002,71.269997,70.040001,70.519997,2517000,68.380325,5/30/2018,TSN,0.001846697,0.001846825
22,70.099998,70.18,67.339996,67.470001,3110100,65.702385,5/31/2018,TSN,-0.039162435,-0.043250087
23,67.830002,68.389999,67.199997,68.089996,2214000,66.306137,6/1/2018,TSN,0.009189195,0.009189195
24,68.239998,69.25,68.239998,68.599998,1611900,66.80278,6/4/2018,TSN,0.007490151,0.007490116
25,68.610001,69.370003,68.300003,69.110001,2290000,67.299416,6/5/2018,TSN,0.007434361,0.007434446
26,69.089996,69.089996,67.75,68.199997,2185300,66.413261,6/6/2018,TSN,-0.013167351,-0.013167472
27,67.790001,70.410004,67.790001,69.709999,2245500,67.883698,6/7/2018,TSN,0.022140714,0.022140793
28,69.82,70.879997,69.599998,70.75,1785300,68.896446,6/8/2018,TSN,0.014918869,0.014918964
29,70.75,72.419998,70.75,71.989998,1917700,70.103958,6/11/2018,TSN,0.017526477,0.017526473
30,72.190002,72.360001,71.220001,71.480003,1404600,69.60733,6/12/2018,TSN,-0.007084165,-0.007084248
31,71.660004,71.82,70.379997,70.440002,2101400,68.594574,6/13/2018,TSN,-0.01454956,-0.014549538
32,70.550003,71.230003,70.050003,70.989998,1624600,69.130157,6/14/2018,TSN,0.00780795,0.007808007
33,70.849998,71.949997,70.629997,71.809998,3422300,69.92868,6/15/2018,TSN,0.011551008,0.011550923
34,71.550003,71.970001,70.540001,71,1307800,69.139908,6/18/2018,TSN,-0.011279664,-0.011279739
35,70.75,71.199997,70.360001,70.800003,1954600,68.945137,6/19/2018,TSN,-0.002817056,-0.002816859
